"Step","00_ablation_policy_8_6789_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h52m00s - successes/time","00_ablation_policy_8_6789_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h52m00s - successes/time__MIN","00_ablation_policy_8_6789_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h52m00s - successes/time__MAX","00_ablation_policy_8_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h49m35s - successes/time","00_ablation_policy_8_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h49m35s - successes/time__MIN","00_ablation_policy_8_98765_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h49m35s - successes/time__MAX","00_ablation_policy_8_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h45m00s - successes/time","00_ablation_policy_8_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h45m00s - successes/time__MIN","00_ablation_policy_8_2023_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h45m00s - successes/time__MAX","00_ablation_policy_8_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h43m47s - successes/time","00_ablation_policy_8_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h43m47s - successes/time__MIN","00_ablation_policy_8_12345_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h43m47s - successes/time__MAX","00_ablation_policy_8_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h42m26s - successes/time","00_ablation_policy_8_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h42m26s - successes/time__MIN","00_ablation_policy_8_42_24576envs_mixed_expl_learn_param_lf_1p_18_01_20h42m26s - successes/time__MAX"
"712","","","","","","","0.1321614682674408","0.1321614682674408","0.1321614682674408","0.2294921875","0.2294921875","0.2294921875","","",""
"713","0.2278645932674408","0.2278645932674408","0.2278645932674408","0.1953125","0.1953125","0.1953125","0.1305338591337204","0.1305338591337204","0.1305338591337204","0.2262369841337204","0.2262369841337204","0.2262369841337204","0.306640625","0.306640625","0.306640625"
"714","0.2291666716337204","0.2291666716337204","0.2291666716337204","0.1927083432674408","0.1927083432674408","0.1927083432674408","0.1276041716337204","0.1276041716337204","0.1276041716337204","0.2197265625","0.2197265625","0.2197265625","0.3020833432674408","0.3020833432674408","0.3020833432674408"
"715","0.2275390625","0.2275390625","0.2275390625","","","","0.1266276091337204","0.1266276091337204","0.1266276091337204","0.2213541716337204","0.2213541716337204","0.2213541716337204","0.3011067807674408","0.3011067807674408","0.3011067807674408"
"716","0.2259114682674408","0.2259114682674408","0.2259114682674408","","","","0.1292317807674408","0.1292317807674408","0.1292317807674408","0.22265625","0.22265625","0.22265625","0.2978515625","0.2978515625","0.2978515625"
"717","0.2249349057674408","0.2249349057674408","0.2249349057674408","0.1910807341337204","0.1910807341337204","0.1910807341337204","0.12890625","0.12890625","0.12890625","0.2259114682674408","0.2259114682674408","0.2259114682674408","0.294921875","0.294921875","0.294921875"
"718","0.2255859375","0.2255859375","0.2255859375","0.1901041716337204","0.1901041716337204","0.1901041716337204","0.1292317807674408","0.1292317807674408","0.1292317807674408","0.2294921875","0.2294921875","0.2294921875","0.296875","0.296875","0.296875"
"719","0.2233072966337204","0.2233072966337204","0.2233072966337204","0.1930338591337204","0.1930338591337204","0.1930338591337204","0.1266276091337204","0.1266276091337204","0.1266276091337204","0.2376302182674408","0.2376302182674408","0.2376302182674408","","",""
"720","0.2252604216337204","0.2252604216337204","0.2252604216337204","0.1936849057674408","0.1936849057674408","0.1936849057674408","","","","","","","0.2897135615348816","0.2897135615348816","0.2897135615348816"
"721","","","","","","","0.1240234375","0.1240234375","0.1240234375","0.2408854216337204","0.2408854216337204","0.2408854216337204","0.2919921875","0.2919921875","0.2919921875"
"722","","","","0.1969401091337204","0.1969401091337204","0.1969401091337204","0.1272786557674408","0.1272786557674408","0.1272786557674408","0.2444661557674408","0.2444661557674408","0.2444661557674408","","",""
"723","0.2233072966337204","0.2233072966337204","0.2233072966337204","0.1982421875","0.1982421875","0.1982421875","0.1298828125","0.1298828125","0.1298828125","0.2477213591337204","0.2477213591337204","0.2477213591337204","0.2981770932674408","0.2981770932674408","0.2981770932674408"
"724","","","","0.2024739682674408","0.2024739682674408","0.2024739682674408","0.1328125","0.1328125","0.1328125","0.2438151091337204","0.2438151091337204","0.2438151091337204","0.2994791865348816","0.2994791865348816","0.2994791865348816"
"725","0.2275390625","0.2275390625","0.2275390625","","","","0.1350911557674408","0.1350911557674408","0.1350911557674408","","","","","",""
"726","0.2259114682674408","0.2259114682674408","0.2259114682674408","0.2034505307674408","0.2034505307674408","0.2034505307674408","0.1350911557674408","0.1350911557674408","0.1350911557674408","0.2464192807674408","0.2464192807674408","0.2464192807674408","0.2965494990348816","0.2965494990348816","0.2965494990348816"
"727","0.22265625","0.22265625","0.22265625","0.2027994841337204","0.2027994841337204","0.2027994841337204","","","","0.2444661557674408","0.2444661557674408","0.2444661557674408","0.2978515625","0.2978515625","0.2978515625"
"728","","","","0.1982421875","0.1982421875","0.1982421875","0.1380208432674408","0.1380208432674408","0.1380208432674408","0.2467447966337204","0.2467447966337204","0.2467447966337204","0.3004557490348816","0.3004557490348816","0.3004557490348816"
"729","0.2314453125","0.2314453125","0.2314453125","0.1988932341337204","0.1988932341337204","0.1988932341337204","","","","0.2496744841337204","0.2496744841337204","0.2496744841337204","","",""
"730","0.2294921875","0.2294921875","0.2294921875","0.1959635466337204","0.1959635466337204","0.1959635466337204","","","","","","","0.2965494990348816","0.2965494990348816","0.2965494990348816"
"731","0.2252604216337204","0.2252604216337204","0.2252604216337204","0.1920572966337204","0.1920572966337204","0.1920572966337204","0.1419270932674408","0.1419270932674408","0.1419270932674408","0.2490234375","0.2490234375","0.2490234375","0.3004557490348816","0.3004557490348816","0.3004557490348816"
"732","0.2281901091337204","0.2281901091337204","0.2281901091337204","","","","0.1376953125","0.1376953125","0.1376953125","0.2529296875","0.2529296875","0.2529296875","","",""
"733","","","","","","","0.1357421875","0.1357421875","0.1357421875","","","","0.294921875","0.294921875","0.294921875"
"734","","","","0.1848958432674408","0.1848958432674408","0.1848958432674408","0.1324869841337204","0.1324869841337204","0.1324869841337204","0.2496744841337204","0.2496744841337204","0.2496744841337204","0.2884114682674408","0.2884114682674408","0.2884114682674408"
"735","0.2360026091337204","0.2360026091337204","0.2360026091337204","0.1875","0.1875","0.1875","","","","0.25","0.25","0.25","","",""
"736","0.2311197966337204","0.2311197966337204","0.2311197966337204","","","","0.134765625","0.134765625","0.134765625","0.2532552182674408","0.2532552182674408","0.2532552182674408","0.2981770932674408","0.2981770932674408","0.2981770932674408"
"737","0.2327474057674408","0.2327474057674408","0.2327474057674408","0.1920572966337204","0.1920572966337204","0.1920572966337204","0.134765625","0.134765625","0.134765625","0.2509765625","0.2509765625","0.2509765625","","",""
"738","0.2421875","0.2421875","0.2421875","0.1920572966337204","0.1920572966337204","0.1920572966337204","","","","","","","0.2926432490348816","0.2926432490348816","0.2926432490348816"
"739","0.240234375","0.240234375","0.240234375","","","","","","","","","","0.2945963740348816","0.2945963740348816","0.2945963740348816"
"740","0.2415364682674408","0.2415364682674408","0.2415364682674408","0.1940104216337204","0.1940104216337204","0.1940104216337204","0.1328125","0.1328125","0.1328125","0.2613932490348816","0.2613932490348816","0.2613932490348816","","",""
"741","0.2408854216337204","0.2408854216337204","0.2408854216337204","0.1962890625","0.1962890625","0.1962890625","0.1318359375","0.1318359375","0.1318359375","0.2552083432674408","0.2552083432674408","0.2552083432674408","","",""
"742","0.2408854216337204","0.2408854216337204","0.2408854216337204","0.197265625","0.197265625","0.197265625","0.1311849057674408","0.1311849057674408","0.1311849057674408","0.2565104365348816","0.2565104365348816","0.2565104365348816","0.2952474057674408","0.2952474057674408","0.2952474057674408"
"743","0.2395833432674408","0.2395833432674408","0.2395833432674408","","","","0.1318359375","0.1318359375","0.1318359375","0.2555338740348816","0.2555338740348816","0.2555338740348816","0.3040364682674408","0.3040364682674408","0.3040364682674408"
"744","","","","0.1936849057674408","0.1936849057674408","0.1936849057674408","0.1324869841337204","0.1324869841337204","0.1324869841337204","0.2548828125","0.2548828125","0.2548828125","","",""
"745","0.2421875","0.2421875","0.2421875","","","","0.134765625","0.134765625","0.134765625","","","","0.3072916865348816","0.3072916865348816","0.3072916865348816"
"746","0.2399088591337204","0.2399088591337204","0.2399088591337204","","","","","","","0.2584635615348816","0.2584635615348816","0.2584635615348816","0.310546875","0.310546875","0.310546875"
"747","","","","0.1940104216337204","0.1940104216337204","0.1940104216337204","","","","0.2584635615348816","0.2584635615348816","0.2584635615348816","","",""
"748","0.2421875","0.2421875","0.2421875","0.1910807341337204","0.1910807341337204","0.1910807341337204","0.1451822966337204","0.1451822966337204","0.1451822966337204","0.259765625","0.259765625","0.259765625","0.3229166865348816","0.3229166865348816","0.3229166865348816"
"749","0.24609375","0.24609375","0.24609375","","","","","","","0.255859375","0.255859375","0.255859375","","",""
"750","0.2434895932674408","0.2434895932674408","0.2434895932674408","0.2005208432674408","0.2005208432674408","0.2005208432674408","0.1494140625","0.1494140625","0.1494140625","0.2513020932674408","0.2513020932674408","0.2513020932674408","0.3245442807674408","0.3245442807674408","0.3245442807674408"
"751","","","","0.2041015625","0.2041015625","0.2041015625","","","","0.2470703125","0.2470703125","0.2470703125","","",""
"752","0.25","0.25","0.25","0.2060546875","0.2060546875","0.2060546875","0.1438802182674408","0.1438802182674408","0.1438802182674408","0.2526041865348816","0.2526041865348816","0.2526041865348816","0.3167317807674408","0.3167317807674408","0.3167317807674408"
"753","0.2496744841337204","0.2496744841337204","0.2496744841337204","0.2067057341337204","0.2067057341337204","0.2067057341337204","","","","","","","","",""
"754","0.25","0.25","0.25","","","","0.1416015625","0.1416015625","0.1416015625","","","","0.3199869990348816","0.3199869990348816","0.3199869990348816"
"755","0.2473958432674408","0.2473958432674408","0.2473958432674408","0.2154947966337204","0.2154947966337204","0.2154947966337204","","","","0.2604166865348816","0.2604166865348816","0.2604166865348816","","",""
"756","0.24609375","0.24609375","0.24609375","0.2177734375","0.2177734375","0.2177734375","","","","","","","0.3277994990348816","0.3277994990348816","0.3277994990348816"
"757","0.2509765625","0.2509765625","0.2509765625","0.2151692807674408","0.2151692807674408","0.2151692807674408","","","","","","","","",""
"758","","","","0.2161458432674408","0.2161458432674408","0.2161458432674408","0.134765625","0.134765625","0.134765625","0.2587890625","0.2587890625","0.2587890625","0.3235677182674408","0.3235677182674408","0.3235677182674408"
"759","","","","0.2125651091337204","0.2125651091337204","0.2125651091337204","","","","0.2613932490348816","0.2613932490348816","0.2613932490348816","0.3307291865348816","0.3307291865348816","0.3307291865348816"
"760","0.2587890625","0.2587890625","0.2587890625","","","","0.1350911557674408","0.1350911557674408","0.1350911557674408","0.2649739682674408","0.2649739682674408","0.2649739682674408","","",""
"761","0.2581380307674408","0.2581380307674408","0.2581380307674408","0.205078125","0.205078125","0.205078125","0.1389974057674408","0.1389974057674408","0.1389974057674408","","","","0.3268229365348816","0.3268229365348816","0.3268229365348816"
"762","0.2571614682674408","0.2571614682674408","0.2571614682674408","0.2037760466337204","0.2037760466337204","0.2037760466337204","0.1389974057674408","0.1389974057674408","0.1389974057674408","0.2623698115348816","0.2623698115348816","0.2623698115348816","0.3294270932674408","0.3294270932674408","0.3294270932674408"
"763","","","","0.203125","0.203125","0.203125","0.1435546875","0.1435546875","0.1435546875","0.2561849057674408","0.2561849057674408","0.2561849057674408","0.3326823115348816","0.3326823115348816","0.3326823115348816"
"764","0.2568359375","0.2568359375","0.2568359375","0.1998697966337204","0.1998697966337204","0.1998697966337204","0.1396484375","0.1396484375","0.1396484375","0.255859375","0.255859375","0.255859375","","",""
"765","","","","0.2024739682674408","0.2024739682674408","0.2024739682674408","0.140625","0.140625","0.140625","","","","0.337890625","0.337890625","0.337890625"
"766","0.2610677182674408","0.2610677182674408","0.2610677182674408","0.19921875","0.19921875","0.19921875","0.140625","0.140625","0.140625","","","","","",""
"767","0.263671875","0.263671875","0.263671875","0.2001953125","0.2001953125","0.2001953125","0.1438802182674408","0.1438802182674408","0.1438802182674408","0.2483724057674408","0.2483724057674408","0.2483724057674408","","",""
"768","0.2584635615348816","0.2584635615348816","0.2584635615348816","0.2018229216337204","0.2018229216337204","0.2018229216337204","","","","0.2522786557674408","0.2522786557674408","0.2522786557674408","0.3294270932674408","0.3294270932674408","0.3294270932674408"
"769","0.2620442807674408","0.2620442807674408","0.2620442807674408","0.2008463591337204","0.2008463591337204","0.2008463591337204","0.1409505307674408","0.1409505307674408","0.1409505307674408","0.2522786557674408","0.2522786557674408","0.2522786557674408","","",""
"770","0.2604166865348816","0.2604166865348816","0.2604166865348816","0.2001953125","0.2001953125","0.2001953125","","","","","","","0.330078125","0.330078125","0.330078125"
"771","0.2545573115348816","0.2545573115348816","0.2545573115348816","","","","0.1331380307674408","0.1331380307674408","0.1331380307674408","0.2584635615348816","0.2584635615348816","0.2584635615348816","","",""
"772","0.2552083432674408","0.2552083432674408","0.2552083432674408","0.2096354216337204","0.2096354216337204","0.2096354216337204","0.1350911557674408","0.1350911557674408","0.1350911557674408","0.2565104365348816","0.2565104365348816","0.2565104365348816","0.3277994990348816","0.3277994990348816","0.3277994990348816"
"773","0.255859375","0.255859375","0.255859375","0.2125651091337204","0.2125651091337204","0.2125651091337204","0.1370442807674408","0.1370442807674408","0.1370442807674408","0.2600911557674408","0.2600911557674408","0.2600911557674408","0.3238932490348816","0.3238932490348816","0.3238932490348816"
"774","0.2568359375","0.2568359375","0.2568359375","","","","","","","0.263671875","0.263671875","0.263671875","","",""
"775","0.2587890625","0.2587890625","0.2587890625","0.21875","0.21875","0.21875","","","","0.2623698115348816","0.2623698115348816","0.2623698115348816","","",""
"776","0.2626953125","0.2626953125","0.2626953125","0.220703125","0.220703125","0.220703125","0.1389974057674408","0.1389974057674408","0.1389974057674408","","","","","",""
"777","0.2594401240348816","0.2594401240348816","0.2594401240348816","","","","","","","0.2626953125","0.2626953125","0.2626953125","0.3264974057674408","0.3264974057674408","0.3264974057674408"
"778","","","","0.2216796875","0.2216796875","0.2216796875","0.1419270932674408","0.1419270932674408","0.1419270932674408","","","","0.3287760615348816","0.3287760615348816","0.3287760615348816"
"779","0.2581380307674408","0.2581380307674408","0.2581380307674408","0.2135416716337204","0.2135416716337204","0.2135416716337204","0.1399739682674408","0.1399739682674408","0.1399739682674408","","","","","",""
"780","0.2587890625","0.2587890625","0.2587890625","","","","0.1393229216337204","0.1393229216337204","0.1393229216337204","","","","0.3326823115348816","0.3326823115348816","0.3326823115348816"
"781","0.2607421875","0.2607421875","0.2607421875","0.2184244841337204","0.2184244841337204","0.2184244841337204","0.1409505307674408","0.1409505307674408","0.1409505307674408","","","","0.3310546875","0.3310546875","0.3310546875"
"782","0.2626953125","0.2626953125","0.2626953125","0.2122395932674408","0.2122395932674408","0.2122395932674408","0.1380208432674408","0.1380208432674408","0.1380208432674408","","","","0.3317057490348816","0.3317057490348816","0.3317057490348816"
"783","0.2649739682674408","0.2649739682674408","0.2649739682674408","","","","0.1350911557674408","0.1350911557674408","0.1350911557674408","0.275390625","0.275390625","0.275390625","","",""
"784","","","","0.2203776091337204","0.2203776091337204","0.2203776091337204","0.134765625","0.134765625","0.134765625","","","","0.3287760615348816","0.3287760615348816","0.3287760615348816"
"785","0.2643229365348816","0.2643229365348816","0.2643229365348816","0.2197265625","0.2197265625","0.2197265625","0.134765625","0.134765625","0.134765625","0.283203125","0.283203125","0.283203125","0.3264974057674408","0.3264974057674408","0.3264974057674408"
"786","0.267578125","0.267578125","0.267578125","0.2190755307674408","0.2190755307674408","0.2190755307674408","0.1380208432674408","0.1380208432674408","0.1380208432674408","0.2848307490348816","0.2848307490348816","0.2848307490348816","0.3346354365348816","0.3346354365348816","0.3346354365348816"
"787","0.2698567807674408","0.2698567807674408","0.2698567807674408","0.2213541716337204","0.2213541716337204","0.2213541716337204","","","","0.2858073115348816","0.2858073115348816","0.2858073115348816","","",""
"788","","","","0.2220052182674408","0.2220052182674408","0.2220052182674408","0.1370442807674408","0.1370442807674408","0.1370442807674408","","","","","",""
"789","","","","0.2216796875","0.2216796875","0.2216796875","0.1373697966337204","0.1373697966337204","0.1373697966337204","0.2890625","0.2890625","0.2890625","","",""
"790","0.2662760615348816","0.2662760615348816","0.2662760615348816","0.2236328125","0.2236328125","0.2236328125","0.1376953125","0.1376953125","0.1376953125","","","","","",""
"791","","","","0.2236328125","0.2236328125","0.2236328125","0.1334635466337204","0.1334635466337204","0.1334635466337204","","","","0.33203125","0.33203125","0.33203125"
"792","0.2740885615348816","0.2740885615348816","0.2740885615348816","","","","","","","0.2815755307674408","0.2815755307674408","0.2815755307674408","","",""
"793","0.2757161557674408","0.2757161557674408","0.2757161557674408","","","","0.1331380307674408","0.1331380307674408","0.1331380307674408","","","","","",""
"794","0.26953125","0.26953125","0.26953125","0.2265625","0.2265625","0.2265625","","","","0.2776692807674408","0.2776692807674408","0.2776692807674408","0.3255208432674408","0.3255208432674408","0.3255208432674408"
"795","","","","","","","","","","0.2789713740348816","0.2789713740348816","0.2789713740348816","0.3255208432674408","0.3255208432674408","0.3255208432674408"
"796","0.2760416865348816","0.2760416865348816","0.2760416865348816","","","","0.140625","0.140625","0.140625","0.2819010615348816","0.2819010615348816","0.2819010615348816","0.3264974057674408","0.3264974057674408","0.3264974057674408"
"797","0.2828776240348816","0.2828776240348816","0.2828776240348816","0.2288411557674408","0.2288411557674408","0.2288411557674408","0.1402994841337204","0.1402994841337204","0.1402994841337204","0.2737630307674408","0.2737630307674408","0.2737630307674408","0.3258463740348816","0.3258463740348816","0.3258463740348816"
"798","0.2838541865348816","0.2838541865348816","0.2838541865348816","","","","0.1370442807674408","0.1370442807674408","0.1370442807674408","0.2731119990348816","0.2731119990348816","0.2731119990348816","","",""
"799","0.2770182490348816","0.2770182490348816","0.2770182490348816","","","","0.1370442807674408","0.1370442807674408","0.1370442807674408","0.2734375","0.2734375","0.2734375","","",""
"800","0.2779948115348816","0.2779948115348816","0.2779948115348816","0.2272135466337204","0.2272135466337204","0.2272135466337204","0.1334635466337204","0.1334635466337204","0.1334635466337204","0.27734375","0.27734375","0.27734375","0.328125","0.328125","0.328125"
"801","0.2776692807674408","0.2776692807674408","0.2776692807674408","0.2317708432674408","0.2317708432674408","0.2317708432674408","0.1324869841337204","0.1324869841337204","0.1324869841337204","0.2744140625","0.2744140625","0.2744140625","","",""
"802","0.2721354365348816","0.2721354365348816","0.2721354365348816","","","","0.138671875","0.138671875","0.138671875","0.2776692807674408","0.2776692807674408","0.2776692807674408","0.3245442807674408","0.3245442807674408","0.3245442807674408"
"803","","","","0.2353515625","0.2353515625","0.2353515625","","","","","","","","",""
"804","","","","0.2294921875","0.2294921875","0.2294921875","","","","","","","0.3291015625","0.3291015625","0.3291015625"
"805","0.2740885615348816","0.2740885615348816","0.2740885615348816","","","","0.1396484375","0.1396484375","0.1396484375","0.2858073115348816","0.2858073115348816","0.2858073115348816","0.3277994990348816","0.3277994990348816","0.3277994990348816"
"806","0.2705078125","0.2705078125","0.2705078125","","","","0.134765625","0.134765625","0.134765625","0.2884114682674408","0.2884114682674408","0.2884114682674408","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"807","0.2724609375","0.2724609375","0.2724609375","0.2307942807674408","0.2307942807674408","0.2307942807674408","0.1341145932674408","0.1341145932674408","0.1341145932674408","0.2858073115348816","0.2858073115348816","0.2858073115348816","","",""
"808","0.2796224057674408","0.2796224057674408","0.2796224057674408","","","","0.1321614682674408","0.1321614682674408","0.1321614682674408","","","","","",""
"809","0.2802734375","0.2802734375","0.2802734375","0.2252604216337204","0.2252604216337204","0.2252604216337204","0.1311849057674408","0.1311849057674408","0.1311849057674408","0.28515625","0.28515625","0.28515625","0.3291015625","0.3291015625","0.3291015625"
"810","0.2838541865348816","0.2838541865348816","0.2838541865348816","","","","","","","0.2770182490348816","0.2770182490348816","0.2770182490348816","0.3304036557674408","0.3304036557674408","0.3304036557674408"
"811","0.2854817807674408","0.2854817807674408","0.2854817807674408","0.2307942807674408","0.2307942807674408","0.2307942807674408","0.1279296875","0.1279296875","0.1279296875","0.2805989682674408","0.2805989682674408","0.2805989682674408","","",""
"812","0.2884114682674408","0.2884114682674408","0.2884114682674408","0.2275390625","0.2275390625","0.2275390625","0.125","0.125","0.125","","","","0.3291015625","0.3291015625","0.3291015625"
"813","0.28515625","0.28515625","0.28515625","0.224609375","0.224609375","0.224609375","","","","0.2890625","0.2890625","0.2890625","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"814","0.287109375","0.287109375","0.287109375","0.2291666716337204","0.2291666716337204","0.2291666716337204","0.126953125","0.126953125","0.126953125","0.2854817807674408","0.2854817807674408","0.2854817807674408","0.33984375","0.33984375","0.33984375"
"815","0.2815755307674408","0.2815755307674408","0.2815755307674408","","","","0.1282552182674408","0.1282552182674408","0.1282552182674408","","","","0.341796875","0.341796875","0.341796875"
"816","0.2880859375","0.2880859375","0.2880859375","0.23046875","0.23046875","0.23046875","0.12890625","0.12890625","0.12890625","0.28125","0.28125","0.28125","","",""
"817","0.2900390625","0.2900390625","0.2900390625","0.23046875","0.23046875","0.23046875","0.1324869841337204","0.1324869841337204","0.1324869841337204","0.283203125","0.283203125","0.283203125","","",""
"818","0.2845052182674408","0.2845052182674408","0.2845052182674408","0.2353515625","0.2353515625","0.2353515625","","","","","","","0.3450520932674408","0.3450520932674408","0.3450520932674408"
"819","0.2890625","0.2890625","0.2890625","","","","0.1321614682674408","0.1321614682674408","0.1321614682674408","0.2815755307674408","0.2815755307674408","0.2815755307674408","","",""
"820","0.2897135615348816","0.2897135615348816","0.2897135615348816","","","","","","","0.2841796875","0.2841796875","0.2841796875","","",""
"821","","","","","","","0.1295572966337204","0.1295572966337204","0.1295572966337204","","","","0.35546875","0.35546875","0.35546875"
"822","","","","0.2421875","0.2421875","0.2421875","0.130859375","0.130859375","0.130859375","0.2828776240348816","0.2828776240348816","0.2828776240348816","","",""
"823","","","","0.2434895932674408","0.2434895932674408","0.2434895932674408","0.1266276091337204","0.1266276091337204","0.1266276091337204","0.2805989682674408","0.2805989682674408","0.2805989682674408","0.3502604365348816","0.3502604365348816","0.3502604365348816"
"824","0.2845052182674408","0.2845052182674408","0.2845052182674408","0.2444661557674408","0.2444661557674408","0.2444661557674408","","","","0.2805989682674408","0.2805989682674408","0.2805989682674408","0.3424479365348816","0.3424479365348816","0.3424479365348816"
"825","","","","0.2477213591337204","0.2477213591337204","0.2477213591337204","0.1276041716337204","0.1276041716337204","0.1276041716337204","0.2770182490348816","0.2770182490348816","0.2770182490348816","0.3486328125","0.3486328125","0.3486328125"
"826","0.2802734375","0.2802734375","0.2802734375","0.2454427182674408","0.2454427182674408","0.2454427182674408","0.1321614682674408","0.1321614682674408","0.1321614682674408","0.2815755307674408","0.2815755307674408","0.2815755307674408","","",""
"827","0.2757161557674408","0.2757161557674408","0.2757161557674408","","","","0.1337890625","0.1337890625","0.1337890625","0.2770182490348816","0.2770182490348816","0.2770182490348816","0.3463541865348816","0.3463541865348816","0.3463541865348816"
"828","0.2763671875","0.2763671875","0.2763671875","0.2457682341337204","0.2457682341337204","0.2457682341337204","0.1376953125","0.1376953125","0.1376953125","","","","0.3486328125","0.3486328125","0.3486328125"
"829","0.2786458432674408","0.2786458432674408","0.2786458432674408","","","","0.138671875","0.138671875","0.138671875","0.2841796875","0.2841796875","0.2841796875","0.353515625","0.353515625","0.353515625"
"830","","","","0.248046875","0.248046875","0.248046875","","","","","","","0.3411458432674408","0.3411458432674408","0.3411458432674408"
"831","0.2779948115348816","0.2779948115348816","0.2779948115348816","","","","0.1412760466337204","0.1412760466337204","0.1412760466337204","0.2828776240348816","0.2828776240348816","0.2828776240348816","0.3343099057674408","0.3343099057674408","0.3343099057674408"
"832","0.283203125","0.283203125","0.283203125","0.2434895932674408","0.2434895932674408","0.2434895932674408","0.1429036557674408","0.1429036557674408","0.1429036557674408","","","","0.3365885615348816","0.3365885615348816","0.3365885615348816"
"833","0.2822265625","0.2822265625","0.2822265625","","","","0.1435546875","0.1435546875","0.1435546875","0.2760416865348816","0.2760416865348816","0.2760416865348816","0.3362630307674408","0.3362630307674408","0.3362630307674408"
"834","","","","0.2483724057674408","0.2483724057674408","0.2483724057674408","0.1432291716337204","0.1432291716337204","0.1432291716337204","","","","","",""
"835","0.2906901240348816","0.2906901240348816","0.2906901240348816","0.2513020932674408","0.2513020932674408","0.2513020932674408","0.1416015625","0.1416015625","0.1416015625","0.2805989682674408","0.2805989682674408","0.2805989682674408","","",""
"836","0.2864583432674408","0.2864583432674408","0.2864583432674408","0.2483724057674408","0.2483724057674408","0.2483724057674408","","","","0.2815755307674408","0.2815755307674408","0.2815755307674408","","",""
"837","0.287109375","0.287109375","0.287109375","","","","0.14453125","0.14453125","0.14453125","0.2796224057674408","0.2796224057674408","0.2796224057674408","0.3225911557674408","0.3225911557674408","0.3225911557674408"
"838","0.287109375","0.287109375","0.287109375","0.2473958432674408","0.2473958432674408","0.2473958432674408","0.1442057341337204","0.1442057341337204","0.1442057341337204","","","","0.3336588740348816","0.3336588740348816","0.3336588740348816"
"839","0.2884114682674408","0.2884114682674408","0.2884114682674408","0.2493489682674408","0.2493489682674408","0.2493489682674408","0.140625","0.140625","0.140625","0.2724609375","0.2724609375","0.2724609375","0.3359375","0.3359375","0.3359375"
"840","","","","0.2470703125","0.2470703125","0.2470703125","","","","0.2669270932674408","0.2669270932674408","0.2669270932674408","0.3307291865348816","0.3307291865348816","0.3307291865348816"
"841","0.29296875","0.29296875","0.29296875","0.2522786557674408","0.2522786557674408","0.2522786557674408","0.1399739682674408","0.1399739682674408","0.1399739682674408","0.267578125","0.267578125","0.267578125","0.3251953125","0.3251953125","0.3251953125"
"842","","","","0.2513020932674408","0.2513020932674408","0.2513020932674408","","","","0.2688802182674408","0.2688802182674408","0.2688802182674408","0.3258463740348816","0.3258463740348816","0.3258463740348816"
"843","","","","","","","","","","0.2727864682674408","0.2727864682674408","0.2727864682674408","0.3264974057674408","0.3264974057674408","0.3264974057674408"
"844","0.3017578125","0.3017578125","0.3017578125","","","","0.1481119841337204","0.1481119841337204","0.1481119841337204","0.279296875","0.279296875","0.279296875","0.3372395932674408","0.3372395932674408","0.3372395932674408"
"845","0.3020833432674408","0.3020833432674408","0.3020833432674408","0.2408854216337204","0.2408854216337204","0.2408854216337204","0.1438802182674408","0.1438802182674408","0.1438802182674408","0.2786458432674408","0.2786458432674408","0.2786458432674408","0.34765625","0.34765625","0.34765625"
"846","0.3001302182674408","0.3001302182674408","0.3001302182674408","0.2434895932674408","0.2434895932674408","0.2434895932674408","0.1409505307674408","0.1409505307674408","0.1409505307674408","0.2835286557674408","0.2835286557674408","0.2835286557674408","0.3522135615348816","0.3522135615348816","0.3522135615348816"
"847","","","","0.2418619841337204","0.2418619841337204","0.2418619841337204","0.1416015625","0.1416015625","0.1416015625","","","","0.3548177182674408","0.3548177182674408","0.3548177182674408"
"848","0.3063151240348816","0.3063151240348816","0.3063151240348816","0.2418619841337204","0.2418619841337204","0.2418619841337204","0.1484375","0.1484375","0.1484375","0.2789713740348816","0.2789713740348816","0.2789713740348816","0.3606770932674408","0.3606770932674408","0.3606770932674408"
"849","0.3108724057674408","0.3108724057674408","0.3108724057674408","0.2470703125","0.2470703125","0.2470703125","","","","0.2802734375","0.2802734375","0.2802734375","0.3570963740348816","0.3570963740348816","0.3570963740348816"
"850","0.3092448115348816","0.3092448115348816","0.3092448115348816","0.2447916716337204","0.2447916716337204","0.2447916716337204","0.1539713591337204","0.1539713591337204","0.1539713591337204","","","","0.3531901240348816","0.3531901240348816","0.3531901240348816"
